Company,Date,Agreements
TripleLift,10/31/21,39
TripleLift,11/7/21,19
TripleLift,11/14/21,18
TripleLift,11/21/21,24
TripleLift,11/28/21,11
TripleLift,12/5/21,20
TripleLift,12/12/21,21
TripleLift,12/19/21,27
TripleLift,12/27/21,11
TripleLift,1/2/22,5
TripleLift,1/9/22,24
TripleLift,1/16/22,17
TripleLift,1/23/22,19
TripleLift,1/30/22,20
TripleLift,2/6/22,18
TripleLift,2/13/22,19
TripleLift,2/20/22,18
TripleLift,2/27/22,15
TripleLift,3/6/22,14
TripleLift,3/13/22,16
TripleLift,3/20/22,20
TripleLift,3/28/22,179
TripleLift,4/4/22,26
TripleLift,4/11/22,13
TripleLift,4/18/22,18
TripleLift,4/25/22,21
TripleLift,5/2/22,22
TripleLift,5/9/22,24
TripleLift,5/16/22,46
TripleLift,5/23/22,17
TripleLift,5/30/22,18
TripleLift,6/6/22,13
TripleLift,6/13/22,24
TripleLift,6/21/22,37
TripleLift,6/27/22,17
TripleLift,7/4/22,14
TripleLift,7/11/22,18
TripleLift,7/18/22,17
TripleLift,7/25/22,6
TripleLift,8/1/22,26
TripleLift,8/8/22,10
TripleLift,8/15/22,140
TripleLift,8/22/22,47
CyberArk,10/31/21,306
CyberArk,11/7/21,41
CyberArk,11/14/21,69
CyberArk,11/21/21,40
CyberArk,11/28/21,33
CyberArk,12/5/21,38
CyberArk,12/12/21,123
CyberArk,12/19/21,70
CyberArk,12/27/21,119
CyberArk,1/2/22,31
CyberArk,1/9/22,18
CyberArk,1/16/22,40
CyberArk,1/23/22,27
CyberArk,1/30/22,31
CyberArk,2/6/22,52
CyberArk,2/13/22,33
CyberArk,2/20/22,43
CyberArk,2/27/22,30
CyberArk,3/6/22,38
CyberArk,3/13/22,39
CyberArk,3/20/22,34
CyberArk,3/28/22,74
CyberArk,4/4/22,75
CyberArk,4/11/22,69
CyberArk,4/18/22,30
CyberArk,4/25/22,80
CyberArk,5/2/22,42
CyberArk,5/9/22,71
CyberArk,5/16/22,137
CyberArk,5/23/22,42
CyberArk,5/30/22,44
CyberArk,6/6/22,53
CyberArk,6/13/22,43
CyberArk,6/21/22,12
CyberArk,6/27/22,55
CyberArk,7/4/22,50
CyberArk,7/11/22,58
CyberArk,7/18/22,36
CyberArk,7/25/22,40
CyberArk,8/1/22,76
CyberArk,8/8/22,32
CyberArk,8/15/22,29
CyberArk,8/22/22,29
Accelya,10/31/21,
Accelya,11/7/21,
Accelya,11/14/21,
Accelya,11/21/21,449
Accelya,11/28/21,0
Accelya,12/5/21,0
Accelya,12/12/21,0
Accelya,12/19/21,3
Accelya,12/27/21,2
Accelya,1/2/22,2
Accelya,1/9/22,18
Accelya,1/16/22,0
Accelya,1/23/22,0
Accelya,1/30/22,2
Accelya,2/6/22,0
Accelya,2/13/22,4
Accelya,2/20/22,7
Accelya,2/27/22,2
Accelya,3/6/22,18
Accelya,3/13/22,2
Accelya,3/20/22,3
Accelya,3/28/22,1
Accelya,4/4/22,3
Accelya,4/11/22,4
Accelya,4/18/22,1
Accelya,4/25/22,0
Accelya,5/2/22,1
Accelya,5/9/22,8
Accelya,5/16/22,6
Accelya,5/23/22,5
Accelya,5/30/22,12
Accelya,6/6/22,26
Accelya,6/13/22,5
Accelya,6/21/22,17
Accelya,6/27/22,2
Accelya,7/4/22,165
Accelya,7/11/22,1
Accelya,7/18/22,10
Accelya,7/25/22,161
Accelya,8/1/22,113
Accelya,8/8/22,17
Accelya,8/15/22,4
Accelya,8/22/22,3
Rokt,10/31/21,20
Rokt,11/7/21,13
Rokt,11/14/21,8
Rokt,11/21/21,9
Rokt,11/28/21,9
Rokt,12/5/21,18
Rokt,12/12/21,6
Rokt,12/19/21,10
Rokt,12/27/21,18
Rokt,1/2/22,0
Rokt,1/9/22,2
Rokt,1/16/22,24
Rokt,1/23/22,22
Rokt,1/30/22,20
Rokt,2/6/22,24
Rokt,2/13/22,24
Rokt,2/20/22,27
Rokt,2/27/22,10
Rokt,3/6/22,55
Rokt,3/13/22,44
Rokt,3/20/22,30
Rokt,3/28/22,34
Rokt,4/4/22,17
Rokt,4/11/22,19
Rokt,4/18/22,9
Rokt,4/25/22,17
Rokt,5/2/22,0
Rokt,5/9/22,48
Rokt,5/16/22,13
Rokt,5/23/22,36
Rokt,5/30/22,2
Rokt,6/6/22,18
Rokt,6/13/22,38
Rokt,6/21/22,60
Rokt,6/27/22,16
Rokt,7/4/22,10
Rokt,7/11/22,25
Rokt,7/18/22,23
Rokt,7/25/22,25
Rokt,8/1/22,9
Rokt,8/8/22,8
Rokt,8/15/22,22
Rokt,8/22/22,16